c;AN;DCM
0,99;0.0345372163578785283594296707652996887;0.184398026874780776552683743785017968
0,991;0.0345455849250479247142071574290031784;0.184432047056827286617345354313547086
0,992;0.0345539457109980534184118367653338935;0.184466032527541932206874214469683536
0,993;0.0345622987322434017330108501974616328;0.184499983356611438225772052871198626
0,994;0.0345706440030574736540467812661209634;0.184533899613559396780785127040786706
0,995;0.0345789815376771452782617109594153535;0.184567781360573254727514302156143857
0,996;0.0345873113503029086997217606138036906;0.184601628674025065314978177657642294
0,997;0.0345956334565692126400670656225676778;0.184635441615778930876592594696074063
0,998;0.0346039478698691838585649101523364170;0.184669220254711163205102647342338987
0,999;0.0346122546050303080620733652135946479;0.184702964655951196029217162978059839
1,0;0.0346205536768443324868022023664874754;0.184736674891643327070277534283646300
1,001;0.0346288450993321647814643245474528872;0.184770351026598407729373793117746244
1,002;0.0346371288872145143806311209591512694;0.184803993121881432343073346902934918
1,003;0.0346454050544413948357135709825457154;0.184837601252749580581529070143257057
1,004;0.0346536736149274258996852854418830573;0.184871175479953086361181443932911919
1,005;0.0346619345832877113854067233641335554;0.184904715871260575060110844314632988
1,006;0.0346701879733668383997446892536387732;0.184938222490697543170023197565500804
1,007;0.0346784337997101499250893671688621021;0.184971695405721475437796581608122261
1,008;0.0346866720760927017768651045957378437;0.185005134680047563757961972195038491
1,009;0.0346949028169907142755298273025451303;0.185038540384413821520501527090290870
1,01;0.0347031260353742760901777704334510071;0.185071912578639510067383689832804247
0,00199;0.00367402053465061853157941258776714482;0.0278771224651182237478431325210952250
0,001991;0.00367486450873754145027556111477025153;0.0278830195973460363222047685417500381
0,001992;0.00367570823570205293574182214970203500;0.0278889148112961545888995709367088958
0,001993;0.00367655171599621556865305224054030380;0.0278948081064549686931805673807562081
0,001994;0.00367739494980398748317196333359870617;0.0279006994852426606982576083408295777
0,001995;0.00367823793704098046773206295102737942;0.0279065889490989922423569577791889062
0,001996;0.00367908067829282450820365231228812649;0.0279124765004411988102273292121389223
0,001997;0.00367992317347460689341383975316863039;0.0279183621397262784854185393561641331
0,001998;0.00368076542276929248125892215947820941;0.0279242458683882681267965550248283847
0,001999;0.00368160742649376224327927969931481168;0.0279301276888394356680761692225938125
0,002;0.00368244918483060618842789402002890619;0.0279360076015305324943566251101467151
0,002001;0.00368329069796213150489523539140979792;0.0279418856088703838420695046010005837
0,002002;0.00368413196593618351299709746868134223;0.0279477617113055878469603095389628914
0,002003;0.00368497298906883148576595206166774966;0.0279536359112416698347903199661390003
0,002004;0.00368581376754172175163333825350670072;0.0279595082101020637461649715880830374
0,002005;0.00368665430140190366291948282002731338;0.0279653786093083512336540005951475696
0,002006;0.00368749459109922144762227291907800491;0.0279712471102803399141306041964111405
0,002007;0.00368833463654588218336332833721290779;0.0279771137134543698213255683148714520
0,002008;0.00368917443805695386775044047080178725;0.0279829784222092828367729042032554388
0,002009;0.00369001399581291249209948114892002856;0.0279888412369779379098548217845290657
0,00201;0.00369085331012851987341684420585130216;0.0279947021591728053474748007009788066
6,99e-05;0.000741624592587004002672403466848470219;0.00603801337931450793028438348633817211
6,991e-05;0.000741676668752154994818103848742566305;0.00603842890262291417638177171094474708
6,992e-05;0.000741728741050110799536196248191392661;0.00603884439387696325724211568106723860
6,993e-05;0.000741780809509992001261263508434764978;0.00603925985308346694395110808033240975
6,994e-05;0.000741832874104348848394545114854770613;0.00603967528047756222211157776429577843
6,995e-05;0.000741884934833974741904358006213539144;0.00604009067606599626900654716675849379
6,996e-05;0.000741936991728018048382652095628132999;0.00604050603962728305817323937880720590
6,997e-05;0.000741989044730685886795002447541361169;0.00604092137116817253150487214898903892
6,998e-05;0.000742041093899403134004305193954610292;0.00604133667115224558211393425715513675
6,999e-05;0.000742093139206690952869307403488594377;0.00604175193890109337888872590779069778
7e-05;0.000742145180681693968199228816649637143;0.00604216717487824976864314983694688375
7,001e-05;0.000742197218296899856095484515651314601;0.00604258237909058033004932634524388883
7,002e-05;0.000742249252053153019206746082497444526;0.00604299755131646307317086207866769070
7,003e-05;0.000742301281951259950523309990944450767;0.00604341269179104177987968435981966805
7,004e-05;0.000742353308020363135148700266457035862;0.00604382780029268640072688587358840690
7,005e-05;0.000742405330204641318582347983766140437;0.00604424287705656996558687968733962203
7,006e-05;0.000742457348589877250369507267885669051;0.00604465792186107579785220363381332572
7,007e-05;0.000742509363091936883694734161559834076;0.00604507293494140425995546251544286065
7,008e-05;0.000742561373768278638226231940010167449;0.00604548791607578840532115189656604533
7,009e-05;0.000742613380563064484900663435705301039;0.00604590286549959776829720844248445408
7,01e-05;0.000742665383562108755527695778607401862;0.00604631778299101692338856302132358674
